Debiteurnummer,Account,Adres + nr,nummer,toevoeging,Postcode,Plaats,Stadsdeel,,,,,,,,,,Sector
000303,Cafe Zilt,Zeedijk 49,49,,1012AR,Amsterdam,020-Centrum,,,,,,,,,,5
000304,HANOS Valkenburg,Beekstraat 13,13,,6301HV,Valkenburg,Valkenburg,,,,,,,,,,
000305,Izakaya Sir Albert Hotel,Albert Cuypstraat 2-6,2,6,1072CT,Amsterdam,020-Zuid - De Pijp,,,,,Levranciersingang Ruysdaelkade ,,,,,3
000306,Du Theatre,Smedestraat 16,16,,2011RG,Haarlem,Haarlem,,,,,,,,,,
000308,Venster 33,Eerste vd Helststraat 42,42,,1072NV,Amsterdam,020-Zuid - De Pijp,,,✔️,,,✔️,V33,,,3
000309,Cugun,Eerste Jan vd Heijdenstr 28 1A,28,1A,1072TT,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000310,De Druiventuin,Rosmolen 32,32,,2317SK,Leiden,Leiden,,,,,,,,,,
000313,Mister Chi Scooters,Overtoom 423-425,423,,1054JR,Amsterdam,020-West,,,,,,,,,,4
000314,Bar Joost,Molukkenstraat 33,33,,1095AT,Amsterdam,020-Oost,,,,,,,,,,2
000316,Behind Bars,Hamburgerstraat 14,14,,3512NR,Utrecht,Utrecht,,,,,,,,,,
000317,Nev-E,Symon Claeszstraat 19,19,,1502VD,Zaandam,Zaandam,,,,,,,,,,
000318,Scrapyard,Kinkerstraat 24,24,,1053DV,Amsterdam,020-West,,,,,,,,,,4
000319,World of Drinks B.V.,Klarinetweg 28,28,,4337RA,Middelburg,Middelburg,,,,,,,,,,
000320,Hooghoudt,Hooghoudtstraat 1,1,,9723TG,Groningen,Groningen,,,,,,,,,,
000321,G's Oost BV,Nieuwe Leliestraat 72 I,72,I,1015SV,Amsterdam,020-Centrum-West,,,,,,,,,,4
000322,DH17 Bergen op Zoom,Olympialaan 2,2,,4625CT,Bergen Op Zoom,Bergen Op Zoom,,,,,,,,,,
000323,Regular&Jack,Vijzelstraat 37,37,,1017HD,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000324,Mama Kelly BV,Saturnusstraat 60,60,,2516AH,Den Haag,Den Haag,,,,,,,,,,
000325,Dramtime,Schoolstraat 48,48,,9581GC,Musselkanaal,Musselkanaal,,,,,,,,,,
000326,Hotel de l'Europe BV,Nieuwe Doelenstraat 2 - 14,2,,1012CP,Amsterdam,020-Centrum,,,,,Leverancierslift links van de ingang ,,,,,5
000327,Maarten Renz Productions BV,Valkenboslaan 323,323,,2563CZ,Den Haag,Den Haag,,,,,,,,,,
000328,Dixons,kinkerstraat 252-254,252,,1053GA,Amsterdam,020-West,,,,,,,,,,4
000329,Rutte&Zn,Vriesestraat 130,130,,3311NS,Dordrecht,Dordrecht,,,,,,,,,,
000330,Scheerder Drankengroothandel,Textielweg 20,20,,3812RV,Amersfoort,Amersfoort,,,,,,,,,,
000331,Geisha,Prins Hendrikkade 106A,106,A,1011AJ,Amsterdam,020-Centrum,,,,,,,,,,5
000332,"Cynosure BV, C/O QP Logistics",Lireweg 15B,15,B,2153PH,Nieuw Vennep,Nieuw Vennep,,,,,,,,,,
000333,Kruizenga BV,Ir. R.R. van der Zeelaan,,,8191JH,Wapenveld,Wapenveld,,,,,,,,,,
000335,Ardea Auto,Klokkenbergweg 3-5,3,,1101AK,Amsterdam,020-Zuidoost,,,,,,,,,,6
000336,Cafe Flamingo,Eerste van der Helststraat 37,37,,1073AC,Amsterdam,020-Zuid - De Pijp,,,,,Parkeren op laad en losplek voor het Paardje > Gerard douplein 1,,,,,3
000337,Cheers - Niepelt Horeca Exploitatie BV,Herenstraat 106,106,,2215KK,Voorhout,Voorhout,,,,,,,,,,
000338,Cafe Schilders,Eerste van der Helststraat 45,45,,1073AC,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000339,63 Graden Foodbar,Woestduinstraat 63,63,,1058TB,Amsterdam,020-West,,,,,,,,,,4
000340,Terpentijn,Rokin 103,103,,1012KM,Amsterdam,020-Centrum,,,,,,,,,,5
000342,Sternschade B.V,Stern,,,1440AA,Purmerend,Purmerend,,,,,,,,,,
000343,Achieve B.V.,Lireweg 15B,15,B,2153PH,Nieuw Vennep,Nieuw Vennep,,,,,,,,,,
000344,Anomaly Amsterdam,Herengracht 551,551,,1017BW,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000345,Cocobomb,Nassaukade 111,111,,1052EA,Amsterdam,020-West,,,,,,,,,,4
000347,Peeters Global Logistics,Slego 1A,1,A,1046BM,Amsterdam,020-Westpoort,,,,,,,,,,4
000348,Slijterij de Roemer,Astraat 13,13,,9718CP,Groningen,Groningen,,,,,,,,,,
000349,Cafe Pollux,Prins Hendrikkade 121,121,,1011AM,Amsterdam,020-Centrum,,,,,,,,,,5
000350,"Ron's Gastrobar Oriental,Foe-Yong-Hai BV",Kerkstraat 23A,23,A,1017GA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000351,United Parcel Service,Zandsteen 22,22,,1232MR,Hooddorp,Hooddorp,,,,,,,,,,
000352,Baristocrats,Gerrit van der Veenstraat 122 I,122,I,1077ER,Amsterdam,020-Zuid,,,,,,,,,,3
000353,Ouke baas autoverhuur,Van Ostadestraat 362,362,,1074XA,Amsterdam,020-Zuid,,,,,,,,,,3
000354,The Big Kahuna Bus VOF,John Franklinstraat 31-3,31,3,1056SX,Amsterdam,020-West,,,,,,,,,,4
000355,Het Ciderhuis,Vossegastelaan 31,31,,3583RP,Utrecht,Utrecht,,,,,,,,,,
000356,ISAAC Academy BV,Verrijn Stuartweg 1H,1,H,1112AW,Diemen,Diemen,,,,,,,,,,
000357,Bries Bar Restaurant Beach,Koningin Astrid Boulevard Afrit 2,2,,2202BT,Noordwijk,Noordwijk,,,,,,,,,,
000358,hbmeo bv.,Keizersgracht 759 C,759,C,1017EA,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000359,Hanos Nieuwegein,Ravenswade 94,94,,3439LD,Nieuwegein,Nieuwegein,,,,,,,,,,
000361,Avenue Leiden,Noordeinde 44,44,,2311CE,Leiden,Leiden,,,,,,,,,,
000362,F.e.o. The Duchess,Singel 235,172,,1012VT,Amsterdam,020-Centrum,,11,,,BELLEN - Parkeren op laad en losplek. Leveranciersingang om de hoek op de  Singel,,,,,5
000363,Thundoor,Egelantiersstraat 4-4,4,4,1015PL,Amsterdam,020-Centrum-West,,,,,,,,,,4
000364,All 4 Horeca,Gr v L v Sandenburgweg 6a,6,A,3945PB,Cothen,Cothen,,,,,,,,,,
000365,Stichting Pardiso Amsterdam,Weteringschans 6,6,,1017SG,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000366,Pure-C Cadzand BV,Boulevard de Wielingen 49,49,,4506JK,Cadzand,Cadzand,,,,,,,,,,
000367,Paskamer,Lutmastraat 132,132,,1073HB,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000368,V?Leisure I-Dock B.V.,Postbus 202,202,,5480AE,Schijndel,Schijndel,,,,,,,,,,
000369,De Man Van Drank Amsterdam/ Bier & Co.,Veemarkt 57,57,,1019DA,Amsterdam,020-Oost-Zeeburg,,,,,,,,,,2
000370,Salmuera B.V.,Rozengracht 106H,106,H,1016NH,Amsterdam,020-Centrum-West,,,,,,,,,,4
000371,Fluent Healthcare B.V.,Nachtwachtlaan 20,20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000372,Body & Balletworks,Overtoom 558-2,558,2,1054LN,Amsterdam,020-West,,,,,,,,,,4
000373,Body & Balletworks,Overtoom 558-2,558,2,1054LN,Amsterdam,020-West,,,,,,,,,,4
000374,Pekoe,Wichersstraat 26,26,,1051ML,Amsterdam,020-West,,,,,,,,,,4
000375,ZFR bedrijfsdiensten BV,Postbus 225,225,,1160AE,Zwanenburg,Zwanenburg,,,,,,,,,,
000376,Barrelproof Boutique,Goudsesingel 60,60,,3011KD,Rotterdam,Rotterdam,,,,,,,,,,
000377,American Steakhouse Broadway,Oudegracht aan de Werf 139,139,,3511AL,Utrecht,Utrecht,,11:30:00,,,Parkeren op de gracht. Smalle trap naar beneden,,,,,
000378,Spirits Bay B.V.,Slego 1A,1,a,1046BM,Amsterdam,020-West,,,,,,,,,,4
000379,P. Loopuyt & Co,Lange Nieuwstraat 101,101,,3111AE,Schiedam,Schiedam,,,,,,,,,,
000380,Kampai,Prins Hendrikkade 106A,106,A,1011EH,Amsterdam,020-Centrum,,,,,,,,,,5
000381,Amsterdam Warehouse Company,Slego 1A,1,A,1042AA,Amsterdam,020-Westpoort,,,,,,,,,,4
000382,De Nieuwe Amsterdamse Spuitwater Fabriek,Overtoom 532,532,,1054LL,Amsterdam,020-West,,,,,,,,,,4
000383,European Bartender School Amsterdam,Paasheuvelweg 34H,34,H,1105BJ,Amsterdam,020-Zuidoost,,,,,,,,,,6
000385,De Japanner (De Pijp),Albert Cuypstraat 228,228,,1073BN,Amsterdam,020-Zuid - De Pijp,,,✔️,,Parkeren bij laad en losplek Albert Heijn,,JAP P,,,3
000386,A Brand New Day,"Reduitlaan 33, Blushuis unit 1.12",33,1.12,4814DC,Breda,Breda,,,,,,,,,,
000387,Podium Mozaiek BV,Bos en Lommerweg 191,191,,1055DT,Amsterdam,020-West,,,,,,,,,,4
000388,Passepartout Press,Van Speijkstraat 169A,169,A,2518GA,Den Haag,Den Haag,,,,,,,,,,
000389,Palace Hotel Operational B.V.,Spuistraat 175,175,,1012VN,Amsterdam,020-Centrum,,11:00,,,Leveranciersingang zit op de hoek. Eventueel Bellen als je voor de deur bent,,,,,5
000390,Rotisserie Amsterdam,De Clercqstraat 81,81,,1053AG,Amsterdam,020-West,,,,,,,,,,4
000391,Schiphol Airport Retail B.V.,Snipweg 7,7,,1118DN,Schiphol,Schiphol,,,,,,,,,,
000392,Bar Moustache,Utrechtsestraat 141hs,141,HS,1017VM,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000394,Parku Nederland BV,Nachtwachtlaan 20,20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000396,Cut Throat Bar,Beursplein 5,5,,1012JW,Amsterdam,020-Centrum,,,,,,,,,,5
000397,h/o RIJKS® Philipsvleugel,Museumplein,1,,1082MS,Amsterdam,020-Zuid,,,,,,,,,,3
000398,Tea Tender,Eikstraat 7,7,,2565MT,Den Haag,Den Haag,,,,,,,,,,
000399,DL Fine Food and Drinks,Overbroek 28,28,,6247EN,Gronsveld,Gronsveld,,,,,,,,,,
000400,Michel-inn,Steve Bikoplein 12H,12,HAL H,1092GN,Amsterdam,020-Oost,,,,,,,,,,2
000401,Caf‚ Mojo,Ringdijk 3H,3,H,1097AA,Amsterdam,020-Oost,,,,,,,,,,2
000402,Bar Saloon,Lijnbaansgracht 271,271,,1017RL,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000403,Supperclub 2.0 BV,Singel 460,460,,1017AW,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000404,Café Vijzel,Nieuwe Vijzelstraat 1H,1,H,1017HT,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000405,De Koekop,Lange Mare 60,60,,2312GS,Leiden,Leiden,,,,,,,,,,
000406,Louwman Amsterdam,Louwman AMsterdam Zuidoost,,,1101GC,Amsterdam Zuidoost,020-Zuidoost,,,,,,,,,,6
000407,Hermit Concepts,Saturnusstraat 60,60,,2516AH,Den Haag,Den Haag,,,,,,,,,,
000408,Mr Porter,Singel 235,172,,1012VN,Amsterdam,020-Centrum,,,,,Leveranciers ingang aan de singel,,,,,5
000409,Restaurant Forno,Rhijnvis Feithstraat 43H,43,H,1054TW,Amsterdam,020-West,,,,,,,,,,4
000410,VBGC BV,De Rijpstraat 155,155,,1056XN,Amsterdam,020-West,,,,,,,,,,4
000411,Frits,Jan Evertsenstraat 135,135,,1057BV,Amsterdam,020-West,,,,,,,,,,4
000412,Entre Nous,Breestraat 83,83,,2311CK,Leiden,Leiden,,,,,,,,,,
000413,Restaurant de Vendel,Vendelseweg 69,69,,3905LC,Veenendaal,Veenendaal,,,,,,,,,,
000414,Slijterij Boorsma,Ferdinand Bolstraat 112,112,,1072LP,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000416,Hanos Delft,Kleveringweg 57,57,,2616LZ,Delft,Delft,,,,,,,,,,
000417,Hanos Nijmegen,Energieweg 84,84,,6541CZ,Nijmegen,Nijmegen,,,,,,,,,,
000418,Jaz Hotel Amsterdam,De passage 90,90,,1101AX,Amsterdam,020-Zuidoost,,,,,Leveranciersingang,,,,,6
000419,De Ruyschkamer,Ruyschstraat 34H,34,H,1091CC,Amsterdam,020-Oost,,,,,,,,,,2
000420,Slijterij Francoise,Drankenservice Francoise B.V.,,,1183HE,Amstelveen,Amstelveen,,,,,,,,,,7
000421,Slijterij de Ruyter,Slijterij De Ruyter B.V.,,,1056GP,Amsterdam,020-West,,,,,,,,,,4
000422,The House,Cornelis Krusemanstraat 15,15,,1075NB,Amsterdam,020-Zuid,,,,,,,,,,3
000423,Slijterij Spraakwater,Brabantplein 6,6,,4817LR,Breda,Breda,,,,,,,,,,
000424,De Druiventros,De Druiventros,,,4817EM,Breda,Breda,,,,,,,,,,
000425,La Barrique,La Barrique,,,4813BA,Breda,Breda,,,,,,,,,,
000426,Mitra Slijterij De Burcht,Mitra Slijterij De Burcht,,,4834HE,Breda,Breda,,,,,,,,,,
000427,JD Williams Whisky Bar,Prinsenstraat 5,5,,1015DA,Amsterdam,020-Centrum-West,,,✔️,✔️,Parkeren op de brug,,,,,4
000428,Just Meet,Breestraat 18,18,,2311CR,Leiden,Leiden,,,,,,,,,,
000429,Nessst,Daniel Goedkoopstraat 34,34,,1096BD,Amsterdam,020-Oost,,,,,,,,,,2
000430,Nova,Korte Leidsedwarsstraat 14,14,,1017RC,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000431,Rum Barrel,Javastraat 143,143,,1094HE,Amsterdam,020-Oost,,,,,,,,,,2
000432,Calle Ocho,Albert Cuypstraat 226H,226,H,1073BN,Amsterdam,020-Zuid - De Pijp,,,✔️,✔️,Parkeren op laad en losplek bij de Albert Heijn,,,,,3
000433,a l'elephant du Congo,Kleine-Gartmanplantsoen 11H,11,H,1017RP,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000434,Buro Bentheimer,Orteliusstraat 52-HS,52,HS,1057BC,Amsterdam,020-West,,,,,,,,,,4
000435,The Hoxton Amsterdam BV (Lotti's),Singel 292,292,,1016AD,Amsterdam,020-Centrum-West,,,,,Leveranciersingang - Aanbellen,✔️,HOX,,,4
000436,Bell's Club,Amsterdamseweg 497A,497,A,1181BS,Amsterdam,Amsterdam,,,,,,,,,,3
000438,Square Dranken Nederland B.V.,Spoorhavenweg 25 / Hall H,25,HAL H,9645LZ,Veendam,Veendam,,,,,,,,,,
000439,Bos&Lobster,Bos en Lommerweg 313,313,,1055DZ,Amsterdam,020-West,,,,,,,,,,4
000440,Vergulden Eenhoorn B.V.,"Ringdijk 58, ingang op Stephensonstraat",58,,1091AH,Amsterdam,020-Oost,,,,,,,,,,2
000441,Pendergast - Woodpile B.V.,Groen van Prinstererstraat 14H,14,H,1051EE,Amsterdam,020-West,,11:00,,,,,,,,4
000442,G's Boat B.V.,Nieuwe Leliestraat 72-1,72,1,1015SV,Amsterdam,020-Centrum-West,,,,,,,,,,4
000443,Pikoteo,Houtmankade 9,9,,1013MP,Amsterdam,020-West,,,,,,,,,,4
000444,Werner's Whisky,Dr. W.M. Verhaarlaan 45,45,,8302JM,Emmeloord,Emmeloord,,,,,,,,,,
000445,Restaurant Lombok,Vleutenseweg 228,228,,3532HP,Utrecht,Utrecht,,,,,,,,,,
000446,Jos van Balen,Wagenweg 14a,14,A,2012ND,Haarlem,Haarlem,,,,,,,,,,
000447,Service Slijters,Pr. Beatrixplein 29,29,,2033WC,Haarlem,Haarlem,,,,,,,,,,
000448,The Stillery BV,Herwijk 12,12,,1046BC,Amsterdam,020-Westpoort,,,,,,,,,,4
000449,Vincent TV Producties,Nachtwachtlaan 20,20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000450,Cafe Servaas,C”rversplein 10,10,,6221EZ,Maastricht,Maastricht,,,,,,,,,,
000451,Bar Mash,Gerard Douplein 9 HS,9,HS,1073XE,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000452,East Side,Sumatrastraat 47,47,,1094LN,Amsterdam,020-Oost,,,,,,,,,,2
000453,Finch,Noordermarkt 5-H,5,H,1015MV,Amsterdam,020-Centrum-West,,,,,,,,,,4
000454,Lemon Scented Tea,Korte Prisengracht 26,26,,1013GS,Amsterdam,020-West,,,,,,,,,,4
000455,Yellowbrick B.V.,H.J.E. Wenckebachweg 80,80,,1114AD,Amsterdam - Duivendrecht,Amsterdam - Duivendrecht,10:00:00,,,,,,,,,6
000456,Slijterij Overmars AMSTERDAM,Hoofddorpplein 11,11,,1059CV,Amsterdam,020-West,,,,,,,,,,4
000457,Whiskycafe L&B,Korte Leidsedwarsstraat 82-84,82,,1017RD,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000458,Ton Overmars Middenweg,Middenweg 57A,57,A,1098AD,Amsterdam,020-Oost,,,,,,,,,,2
000459,Drank.nl,Adriaen van Ostadelaan 57,57,,3583AB,Utrecht,Utrecht,,,,,,,,,,
000460,Gebr. Hartering,Peperstraat 10,10,,1011TL,Amsterdam,020-Centrum,,,,,Leveren bij fietsenwinkel indien niet aanwezig ,,,,,5
000461,Kever Genever,Holendrechtstraat 17,17,,1078TN,Amsterdam,020-Zuid,,,,,,,,,,3
000462,Geisha Lounge Breda,Havermarkt 21,21,,4811WG,Breda,Breda,,,,,,,,,,
000464,We Love Spirits,Hardwareweg 4,4,,3821BM,Amersfoort,Amersfoort,,,,,,,,,,
000465,Cafe George - Scharrels en Schuim,Lijnbaan 36,36,,3012EP,Rotterdam,Rotterdam,,,,,,,,,,
000466,Home Lunch & Lounge,Kloosterstraat 19,19,,5921AH,Venlo,Venlo,,,,,,,,,,
000467,Radijs,Jan Evertsenstraat 41hs,41,HS,1057BM,Amsterdam,020-West,,,,,,,,,,4
000468,Bar BAUT,Stadionweg 320,320,,1076PK,Amsterdam,020-Zuid,,,,,,,,,,3
000469,Zegro Centrum Rotterdam BV,Amstelstraat 25,25,,3044 CA,Rotterdam,Rotterdam,,,,,,,,,,
000470,Gouden Ton Breda,Prins Hendrikstraat 183,183,,4835PN,Breda,Breda,,,,,,,,,,
000472,Library of Spirits B.V.,Oude Binnenweg 111 B,111,B,3012JB,Rotterdam,Rotterdam,,,,,,,,,,
000473,Dante Kitchen & Bar,Spuistraat 320,320,,1012VX,Amsterdam,020-Centrum,,,,,,,,,,5
000474,Pension Homeland,Kattenburgerstraat 5,5,,1018JA,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000475,Post Horeca Diensten,Rijnstraat 70 -2,70,2,1079HJ,Amsterdam,020-Zuid,,,,,,,,,,3
000485,Versailles Dranken Nijmegen (V.D.N.),Lange Hezelstraat 83,83,,6511CD,Nijmegen,Nijmegen,,,,,,,,,,
000491,Barflex B.V.,Europaplein 101 2,101,2,1079AW,Amsterdam,020-Zuid,,,,,,,,,,3
000497,Holy Water,Annastraat 3,3,,9724LD,Groningen,Groningen,,,,,,,,,,
000498,Oak,Korte Leidsedwarsstraat 14,14,,1017RC,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000499,Thrill Grill,Gerard Doustraat 98,98,,1072VX,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000501,Caf‚ Kadijk,Kadijksplein 5,5,,1018AB,Amsterdam,020-Centrum-Oost,,,,,,,,,,2
000502,T Drinks,Heuvelpoort 364,364,,5038DW,Tilburg,Tilburg,,,,,,,,,,
000503,De Vuurtoren V.O.F.,Groote Markt 11,11,,4524CD,Sluis,Sluis,,,,,,,,,,
000504,Wines & More Leiden,Korevaarstraat 21,21,,2311JT,Leiden,Leiden,,,,,,,,,,
000505,Liquid Gold Speciaalslijterij,Koningstraat 33,33,,2011TC,Haarlem,Haarlem,,,,,,,,,,
000506,Boef Producties,Lorentzkade 30,30,,2014CA,Haarlem,Haarlem,,,,,,,,,,
000511,Hanos Heerenveen B.V.,Houtdraaier 2,2,,8447GG,Heerenveen,Heerenveen,,,,,,,,,,
000515,Mister Kitchen,Pazzanistraat 35,35,,1014DB,Amsterdam,020-West,,,,,,,,,,4
000522,Bij Thomas en Hendrik,Lisserdijk 275,275,,2151AA,Lisserbroek,Lisserbroek,,,,,,,,,,
000523,Ron's Gastro Indonesia (Amstelveen),Amstelzijde 51,51,,1184TZ,Amstelveen,Amstelveen,,,,,,,,,,7
000524,Bidfood B.V. (Deli XL),Ampèrestraat 9,9,,6716BN,Ede,Ede,,,,,,,,,,
000525,Oud zuid gastvrij B.V. Waldeck,Willemsparkweg 223,223,,1071HC,Amsterdam,020-Zuid,,,,,,,,,,3
000526,Recruitincloud - Bram Tierie,Leidsegracht 16 E,16,E,1016CK,Amsterdam,020-Centrum-West,,,,,,,,,,4
000527,The Stirr B.V.,Eendrachtsweg 29 B,29,B,3012LB,Rotterdam,Rotterdam,,,,,,,,,,
000528,Hotel New York B.V.,Koninginnenhoofd 1,1,,3072AD,Rotterdam,Rotterdam,,,,,,,,,,
000529,Tijn Akersloot,Boulevard Paulus Loot strand-afgang 1B,1,B,2042AD,Zandvoort,Zandvoort,,,,,,,,,,
000530,Bar West B.V. (Hendrix Bar),De Clercqstraat 82,82,,1052NK,Amsterdam,020-West,,,,,,,,,,4
000540,XO Trading Company B.V.,Singel 87,87,,1012VG,Amsterdam,020-Centrum,,,,,Leveren bij Tales & Spirits tussen 11-13u Lydia bellen 0650502147! NIET VOOR 11:00 bellen!,,XO,,,5
000541,Hops and Barley (Bottle Shop Eindhoven),Geldropseweg 86 A,86,A,5611SK,Eindhoven,Eindhoven,,,,,,,,,,
000550,G's Bar B.V.,Ferdinand Bolstraat 158,158,,1072LT,Amsterdam,020-Zuid - De Pijp,,,,,,,,,,3
000551,Shake and Serve Amsterdam,Contactweg 24,24,,1014BH,Amsterdam,020-West,,,,,,,,,,4
000553,Amsterdam Basements B.V. - Curtain Club,Amstel 178,178,,1017AE,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000554,Bar Mits,Javastraat 49,49,,1094HA,Amsterdam,020-Oost,,,,,,,,,,2
000555,Restaurant FAAM B.V.,Reinier Claeszenstraat 8 H,8,H,1056WJ,Amsterdam,020-West,,,,,,,,,,4
000556,Toorank B.V.,Edisonstraat 80,80,,6902PK,Zevenaar,Zevenaar,,,,,,,,,,
000557,GWT Spirits & Beverages Group,Stationplein 91-105,91,,5211BM,S-Hertogenbosch,S-Hertogenbosch,,,,,,,,,,
000559,Jan Caf‚,H. Cleyndertweg 63 B,63,B,1025DG,Amsterdam,020-Noord,,,,,,,,,,1
000560,Groupe L.F.E. B.V.,Dierenriem 5,5,,3738TP,Maartensdijk,Maartensdijk,,,,,,,,,,
000561,Julius Jaspers Beheer B.V.,Stadhouderslaan 7,7,,1405GA,Bussum,Bussum,,,,,,,,,,
000562,Wijnhuis Helmond,Hurksestraat 9,9,A,5701GX,Helmond,Helmond,,,,,,,,,,
000563,Thrill Grill B.V.,Eerste Constantijn Huygensstraat 37,37,,1054BR,Amsterdam,020-West,,,,,,,,,,4
000564,Meatless District West,Bilderdijkstraat 67 H,67,H,1053KM,Amsterdam,020-West,,,,,,,,,,4
000565,VLOEISTOF ENZO,Esstede 18,18,,1112ES,Diemen,Diemen,,,,,,,,,,
000568,Vincent van den Brink,Nassaukade 373 -L,373,L,1054AC,Amsterdam,020-West,,,,,,,,,,4
000571,E79 B.V. t.a.v. Grand Marnier,Bloemgracht 121 H,121,H,1016KK,Amsterdam,020-Centrum-West,,,,,,,,,,4
000573,Thrill Grill Haarlem,Oude Groenmarkt 26,26,,2011HL,Haarlem,Haarlem,,,,,,,,,,
000574,House of Bols,Paulus Potterstraat 12,12,,1071CZ,Amsterdam,020-Zuid,,,,,Leveranciersingang,,,,,3
000575,Isle of Harris Distillery Import B.V.,Koning Willem III-laan 7,7,,1261AC,Blaricum,Blaricum,,,,,,,,,,
000576,Cooper & Barrel B.V.,Buitenhavenweg 98,98,,3113BE,Schiedam,Schiedam,,,,,,,,,,
000579,Caf‚ Restaurant De Eendracht Abcoude B.V.,Hoogstraat 37,37,,1391BR,Abcoude,Abcoude,,,,,,,,,,
000580,Wijnhuis Zuid,Maasstraat 134,134,,1078HP,Amsterdam,020-Zuid,,,,,,,,,,3
000581,Paso Doble,Westerstraat 86,86,,1015MN,Amsterdam,020-Centrum-West,,,,,,,,,,4
000585,Parc Breda,Grote Markt 20 -22,20,,4811XR,Breda,Breda,,,,,,,,,,
000586,van der Valk Distributiecentrum,Veurseweg 214,214,,2252AH,Voorschoten,Voorschoten,,,,,,,,,,
000587,BOBL Holding B.V.,Windjammerdijk 22,22,,1086VC,Amsterdam,020-Oost,,,,,,,,,,2
000588,WONDERFUL B.V.,Contactweg 30 E,30,,1014AN,Amsterdam,020-West,,,,,,,,,,4
000590,Freddy's,Koningstraat 26,26,,6511LB,Nijmegen,Nijmegen,,,,,,,,,,
000600,Sous Bar Bistro,Wolvenstraat 16,16,,1016EP,Amsterdam,020-Centrum-West,,,,,,,,,,4
000602,Tijl Testaccount,"Nachtwachtlaan, 20",20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000603,Dok Amsterdam,Moermanskkade 71,71,,1013BC,Amsterdam,020-West,,,,,,,,,,4
000605,bs De Wereldwijzer,t Routje 8,8,,6024BP,Budel-Dorplein,Budel-Dorplein,,,,,,,,,,
000606,Hanos Venlo B.V.,Winkelveldstraat 17,17,,5916NX,Venlo,Venlo,,,,,,,,,,
000607,Market 33 B.V.,Claude Debussylaan 33,33,,1082MC,Amsterdam,020-Zuid,,,,,,,,,,3
000608,Sodexo B.V. NL081593,"Johan Huizingalaan 763a,",763,A,1066VH,Amsterdam,020-Nieuw-West,,,,,,,,,,4
000609,Geen - particulier,Klikspaanweg 13,13,,2324LW,Leiden,Leiden,,,,,,,,,,
000610,BORiS Agency,Nieuwe Hemweg 15C,15,C,1013BG,Amsterdam,020-West,,,,,,,,,,4
000612,EBS Amsterdam,"Paasheuvelweg 34H 2 hoog, rechts",34,H2,1105BJ,Amsterdam,020-Zuidoost,,,,,,,,,,6
000613,Wines Mon Passion,Couhornerhoek 35,35,,1035KP,Amsterdam,020-Noord,,,,,,,,,,1
000614,The Cocktail Factory,Kerkweg 16,16,,2064KR,Spaarnwoude,Spaarnwoude,,,,,,,,,,
000615,Boy Testaccount,portsmuiden 13,13,,1046AH,Amsterdam,020-Westpoort,,,,,,,,,,4
000616,Gin Neo,Noorderstraat 19-23 Noorderstraat 19-23,19,,1017TR,Amsterdam,020-Centrum-Zuid,,,,,,,,,,3
000619,Geen,Berkelaan 11,11,,9203LM,Drachten,Drachten,,,,,,,,,,
000621,Wijnkoperij Vinabc,Het Wed 79,79,,3995BT,Houten,Houten,,,,,,,,,,
000628,Teamleader Nederland B.V.,Nachtwachtlaan 20,20,,1058EA,Amsterdam,020-West,,,,,,,,,,4
000633,Schiphol Airport Retail,Snipweg 7,7,,1118DN,Schiphol,Schiphol,,,,,,,,,,
000635,TRES DOR,Lorentzweg 2,2,,7741LA,Coevorden,Coevorden,,,,,,,,,,
000636,Affourtit,Koninginneweg 209,209,,1075CS,Amsterdam,020-Zuid,,,,,,,,,,3
000666,2008 Wijn & Dranken,Haarlemmerdijk 59,59,,1013KB,Amsterdam,020-West,,,,,,,,,,4
000676,Wijnkoperij Joure,Midstraat 142,142,,8501AW,Joure,Joure,,,,,,,,,,
